Models,Accuracy,Precision,Recall,F1_score,ROC_AUC_score,Methods
AdaBoot_Classification,0.8001769911504425,0.7755102040816326,0.8459363957597174,0.8091938482339023,0.8000958574543268,train
DecisionTree_Classification,0.9994690265486725,0.9996465182043125,0.9992932862190813,0.9994698710019438,0.9994693381450016,train
ExtraTree_Classification,0.9994690265486725,0.9996465182043125,0.9992932862190813,0.9994698710019438,0.9994693381450016,train
HistGradientBoostingClassifier,0.8969911504424779,0.8991477272727273,0.8946996466431095,0.8969181721572794,0.8969952133924767,train
KNN_Classification,0.8442477876106195,0.8540305010893247,0.831095406360424,0.8424068767908309,0.844271107435531,train
Logistic_Regression,0.7886725663716814,0.7757923128792987,0.8130742049469964,0.7939958592132506,0.7886293010550586,train
Naive_Bayes,0.7584070796460177,0.766460531102219,0.7445229681978799,0.755332496863237,0.7584316968648974,train
RandomForest_Classification,0.9992920353982301,0.9992932862190813,0.9992932862190813,0.9992932862190813,0.9992920331804627,train
